Town,State,County
Meriden,CT,NULL
Southington,CT,Western Connecticut
Unionville,CT,NULL
East Hartland,CT,NULL
Seymour,CT,NULL
Suffield,CT,NULL
Town Of North Haven,CT,NULL
Wilton,CT,NULL
Thompson,CT,NULL
Willowbrook,KS,Naugatuck Valley
Saint George,KS,NULL
Peabody,KS,NULL
Cherokee,KS,NULL
Newton,KS,NULL
Burrton,KS,South Central Connecticut
Kiowa,KS,NULL
Washington,KS,NULL
Milford,KS,NULL
Pittsburg,KS,NULL
Williamsburg,KS,NULL
Alton,KS,NULL
Derby,KS,NULL
Park City,KS,NULL
Parsons,KS,Reno
Saint Marys,KS,NULL
Arcadia,KS,Marion
Lucas,KS,Crawford
Farlington,KS,Harvey
Osborne,KS,Harvey
Valley Falls,KS,Barber
Edwardsville,KS,Washington
La Cygne,KS,Geary
Arlington,KS,Crawford
Abilene,KS,Franklin
Cheney,KS,Osborne
Pretty Prairie,KS,Sedgwick
Walton,KS,Sedgwick
Uniontown,KS,Labette
Fredonia,KS,NULL
Merriam,KS,Crawford
Saint Francis,KS,Russell
Paxico,KS,Crawford
Leavenworth,KS,Osborne
Lyndon,KS,Jefferson
De Soto,KS,Wyandotte
Liberal,KS,Linn
Montezuma,KS,Reno
Burden,KS,Dickinson
Perry,KS,Sedgwick
Elk City,KS,Reno
Potwin,KS,Harvey
Hartford,KS,Bourbon
Saint John,KS,Wilson
Rossville,KS,Johnson
Hays,KS,NULL
Meade,KS,Wabaunsee
Howard,KS,Leavenworth
Brewster,KS,Osage
Hesston,KS,Johnson
Riley,KS,Seward
Goddard,KS,Gray
Shawnee Mission,KS,Cowley
Jetmore,KS,Jefferson
Westmoreland,KS,Montgomery
Syracuse,KS,Butler
Goessel,KS,Lyon
Paola,KS,NULL
Parker,KS,Shawnee
Overland Park,KS,Ellis
Fort Scott,KS,Meade
Ulysses,KS,Elk
New Century,KS,Thomas
Mirage,KS,Harvey
Scranton,KS,Riley
Rogers,KS,Sedgwick
Galena,KS,NULL
Norwich,KS,Hodgeman
Bonner Springs,KS,Pottawatomie
Ellinwood,KS,Hamilton
Louisburg,KS,Marion
Bucyrus,KS,Miami
Mission,KS,Linn
Silverdale,KS,Johnson
Marysville,KS,Bourbon
Leona,KS,Grant
Wichita,KS,NULL
Topeka,KS,NULL
El Dorado,KS,Osage
Wellington,KS,NULL
Bluff City,KS,Cherokee
Hiawatha,KS,Kingman
Deerfield,KS,Wyandotte
Auburn,KS,Barton
Herington,KS,Miami
Fort Riley,KS,Miami
Liberty,KS,Johnson
Gypsum,KS,Cowley
Phillipsburg,KS,Marshall
Wichita Falls,KS,Doniphan
Robinson,KS,Sedgwick
Princeton,KS,Shawnee
Lansing,KS,Butler
Coffeyville,KS,Sumner
Lacynge,KS,Harper
Tecumseh,KS,Brown
Johnson,KS,Kearny
Haysville,KS,Shawnee
Kill Creek Park,KS,Morris
Hillsdale Lake,KS,Riley
Concordia,KS,Montgomery
Fort Leavenworth,KS,Saline
Holton,KS,Phillips
Elk Falls,KS,NULL
Westwood,KS,Brown
La Crosse,KS,Franklin
Hillsdale,KS,Leavenworth
Shawnee,KS,Montgomery
Claflin,KS,NULL
St. Marks,KS,Shawnee
Garden City,KS,NULL
Juction City,KS,Sedgwick
Wakarusa,KS,NULL
Langdon,KS,NULL
Mcpherson,KS,Cloud
Wilmore,KS,NULL
Andover,KS,Jackson
Baxter Springs,KS,Elk
Kanorado,KS,Johnson
Colby,KS,Rush
Mission Hills,KS,Miami
Olathe,KS,Johnson
Hillsboro,KS,Barton
Ft.Leavenworth,KS,NULL
Wamego,KS,Finney
Lebo,KS,NULL
Vermillion,KS,Shawnee
Strong City,KS,Reno
Cunningham,KS,McPherson
Basehor,KS,Comanche
Humboldt,KS,Butler
Kansas City,KS,Cherokee
Effingham,KS,Sherman
Hoyt,KS,Thomas
Russell,KS,Johnson
North Newton,KS,Johnson
Kismet,KS,Marion
Mccune,KS,NULL
Mulvane,KS,Pottawatomie
Bel Aire,KS,Coffey
Olmitz,KS,Marshall
Lost Springs,KS,Chase
Junction City,KS,Kingman
Independence,KS,Leavenworth
Eskridge,KS,Allen
Glasco,KS,Wyandotte
Sublette,KS,Atchison
Lenexa,KS,Jackson
Oxford,KS,Russell
Salina,KS,Harvey
Spring Hill,KS,Seward
Fontana,KS,Crawford
Osage City,KS,Sedgwick
Cato,KS,NULL
Atchison,KS,Barton
Columbus,KS,Marion
Baldwin,KS,Geary
Belleville,KS,Montgomery
Richmond,KS,Wabaunsee
Emporia,KS,Cloud
Highland,KS,Haskell
Gardner,KS,Johnson
Geneseo,KS,Sumner
Tonganoxie,KS,Saline
Nashville,KS,Johnson
Emmett,KS,Miami
Holcomb,KS,Osage
Ottawa,KS,NULL
Copeland,KS,Atchison
Nortonville,KS,Cherokee
Arkansas City,KS,NULL
Florence,KS,Republic
Plainville,KS,Franklin
Scott City,KS,Lyon
Dodge City,KS,Doniphan
Manhattan,KS,Johnson
Minneapolis,KS,Rice
Grantville,KS,Leavenworth
Udall,KS,Kingman
Pomona,KS,Pottawatomie
Augusta,KS,Finney
Leawood,KS,Franklin
Prairie Village,KS,Gray
"Overland Park, Kansas",KS,Jefferson
Overbrook,KS,Cowley
Marion,KS,Marion
Cawker City,KS,Rooks
Toronto,KS,Scott
Belle Plaine,KS,Ford
Downs,KS,Riley
Stafford,KS,Ottawa
Longford,KS,Jefferson
5 Miles Outside Emporia,KS,Cowley
Great Bend,KS,Franklin
Ozawkie,KS,Butler
Winfield,KS,Johnson
Valley Center,KS,Johnson
Lindsborg,KS,NULL
Moundridge,KS,Osage
Eudora,KS,Marion
Hutchinson,KS,Mitchell
Inman,KS,Woodson
Hill City,KS,Sumner
Halstead,KS,Osborne
Lakin,KS,Stafford
Ft. Leavenworth,KS,Clay
Soldier,KS,NULL
Lawrence,KS,Barton
Sharon Springs,KS,Jefferson
Muscotah,KS,Cowley
Coldwater,KS,Sedgwick
Hugoton,KS,McPherson
Eureka,KS,McPherson
Chanute,KS,Douglas
Bendena,KS,Reno
Iola,KS,McPherson
Sedgwick,KS,Graham
,VA,Harvey
Ft. Belvoir,VA,Kearny
Winston-Salem,VA,NULL
Woodbridge,VA,Jackson
Williamsburg,VA,Douglas
Fairfax,VA,Wallace
Galax,VA,Atchison
Franklin,VA,Comanche
Lexington,VA,Stevens
Orlean,VA,Greenwood
Bridgewater,VA,Neosho
Natural Bridge,VA,Doniphan
Sterling,VA,Allen
Woodville,VA,Harvey
Laurel Branch,VA,NULL
Wise,VA,NULL
Cape Charles.,VA,NULL
Whitemarsh,VA,Prince William
Pearisburg,VA,Williamsburg
Machipongo,VA,Fairfax
Hillsville,VA,Galax
Ararat,VA,Franklin
Ware Neck,VA,Lexington
Locust Grove,VA,NULL
Elkton,VA,Rockingham
Mount Solon,VA,NULL
Motorun,VA,Loudoun
Fredericksburg,VA,NULL
South Boston,VA,NULL
Fort Defiance,VA,Wise
Heathsville,VA,NULL
Scottsville,VA,NULL
Midlothian,VA,Giles
Clearbook,VA,NULL
Clintwood,VA,Carroll
Stanley,VA,NULL
Manassas,VA,NULL
Highland Springs,VA,NULL
Vienna,VA,Rockingham
Fort Valley,VA,NULL
Fairlawn,VA,NULL
Onancock,VA,Fredericksburg
Courtland,VA,Halifax
Monroe,VA,NULL
Banshee Reeks Nature Preserve,VA,Northumberland
Locust Dale,VA,Albemarle
Linden,VA,Chesterfield
Oilville,VA,NULL
Alnnandale,VA,Dickenson
Buffalo Junction,VA,Page
Huddleston,VA,Manassas
Bentonville,VA,Henrico
Willis,VA,Fairfax
Chincoteague National Wildlife Refu,VA,NULL
Roanoke,VA,Pulaski
South Riding,VA,Accomack
Beaverdam,VA,Southampton
Pratts,VA,NULL
Meadows Of Dan,VA,NULL
Tangier,VA,NULL
Richmond,VA,NULL
Clifton,VA,NULL
Daleville,VA,NULL
Crozier,VA,NULL
Appomattox,VA,NULL
Glasgow,VA,NULL
Bristow,VA,NULL
Lorton,VA,NULL
North Dinwiddie,VA,Roanoke
Cape Charles. Va,VA,Loudoun
Belle Haven,VA,NULL
Gate City,VA,NULL
Sandbridge,VA,Patrick
Stafford,VA,Accomack
Goochland,VA,Richmond
Big Meadows,VA,Fairfax
Centreville,VA,Botetourt
Goode,VA,NULL
"Winchester,Va",VA,Appomattox
Cross Junction,VA,Rockbridge
Nellysford,VA,NULL
"Winchester,",VA,Fairfax
Fork Union,VA,NULL
Fishersville,VA,NULL
Hardyville,VA,Fairfax
Pulaski,VA,Scott
Tysons,VA,NULL
"Burke, Va",VA,NULL
Warrenton,VA,Goochland
Chincoteague,VA,NULL
Herndon,VA,Fairfax
Washington,VA,NULL
Woodlawn,VA,NULL
Alton,VA,NULL
Chester,VA,Nelson
Oakton,VA,NULL
Bon Air,VA,NULL
Luray,VA,Augusta
Palmyra,VA,NULL
Arlington,VA,Pulaski
Mouth Of Wilson,VA,Fairfax
Greenbackville,VA,NULL
Smoky Ordinary,VA,Fauquier
Gloucester,VA,Accomack
Chesapeake,VA,Fairfax
Toano,VA,Rappahannock
Saint Paul,VA,Fairfax
Henrico,VA,NULL
Timberville,VA,Chesterfield
Greenbush,VA,Fairfax
Cumberland,VA,Chesterfield
Boones Mill,VA,Page
Mcgaheysville,VA,Fluvanna
New Kent,VA,Arlington
Haymarket,VA,NULL
Smithfield,VA,Accomack
Free Union,VA,NULL
Kents Store,VA,NULL
Arrington,VA,Chesapeake
Onley,VA,NULL
Pamplin,VA,NULL
Holly Hills,VA,NULL
Forest,VA,Rockingham
Aldie,VA,Accomack
Big Stone Gap,VA,Cumberland
Marshall,VA,Franklin
Rice,VA,Rockingham
Jamestown,VA,New Kent
Tuckahoe,VA,Prince William
Arlngton,VA,Isle of Wight
Stephens City,VA,Albemarle
Radford,VA,NULL
Wirtz,VA,Nelson
Castleton,VA,Accomack
Portsmouth,VA,NULL
Brambleton,VA,NULL
Blackstone,VA,Bedford
Fairfax Station,VA,Loudoun
Winchester,VA,Wise
Ruckersville,VA,Fauquier
Gladys,VA,NULL
Ark,VA,NULL
Cloverdale,VA,Henrico
Mendota,VA,NULL
Swoope,VA,Frederick
Culpeper,VA,Radford
Ruther Glen,VA,NULL
Laurel Fork,VA,NULL
Blacksburg,VA,Portsmouth
Loudoun County,VA,Loudoun
Norfolk,VA,Nottoway
Bluemont,VA,Fairfax
Harrisonburg,VA,Winchester
Short Pump,VA,Greene
Delaplane,VA,NULL
Loudoun,VA,NULL
Mc Lean,VA,Botetourt
Rockbridge Baths,VA,Washington
Annandale,VA,NULL
"Washington, D.C.",VA,Culpeper
Petersburg,VA,NULL
New Castle,VA,NULL
West Point,VA,Montgomery
Ivanhoe,VA,NULL
Harpers Ferry,VA,Norfolk
Catlett,VA,NULL
Oak Hill,VA,Harrisonburg
Moseley,VA,Henrico
Churchville,VA,NULL
Jollett,VA,NULL
Doe Hill,VA,NULL
Mechanicsville,VA,NULL
Mount Sidney,VA,Fairfax
Amherst,VA,NULL
Chincoteague Nwr,VA,Petersburg
Louisa,VA,Craig
Glade Spring,VA,King William
New Hampden,VA,Wythe
Chantilly,VA,NULL
Boyce,VA,Fauquier
Chimney Springs,VA,NULL
Raphine,VA,NULL
Wintergreen Resort,VA,Augusta
Waterford,VA,NULL
Kilmarnock,VA,NULL
Weyers Cave,VA,Hanover
Manakin Sabot,VA,Augusta
Lake Frederick/Stephens City,VA,Amherst
Afton,VA,NULL
Richmond  23225,VA,Louisa
Quinton,VA,Washington
Buchanan,VA,NULL
Floyd,VA,Fairfax
Sumerduck,VA,Clarke
Barboursville,VA,NULL
Dunn Loring,VA,NULL
Tangier Island,VA,NULL
Farmville,VA,Loudoun
Millboro,VA,Lancaster
Port Haywood,VA,Augusta
Carrollton,VA,NULL
Dublin,VA,NULL
Spotsylvania,VA,Nelson
Springfield,VA,NULL
Abingdon,VA,NULL
Assateague Island,VA,Botetourt
Henrys Mill,VA,Floyd
Gainesville,VA,NULL
Hot Springs,VA,Orange
Strasburg,VA,Fairfax
Cobbs Creek,VA,NULL
Montvale,VA,Prince Edward
Gordonsville,VA,Bath
Bumpass,VA,NULL
Lyndhurst,VA,Isle of Wight
Chesterfield,VA,Pulaski
West Springfield,VA,NULL
Mathews,VA,Fairfax
Vesta,VA,Washington
Mineral,VA,NULL
Lovettsville,VA,NULL
Round Hill,VA,Prince William
Fincastle,VA,Bath
Lanexa,VA,Shenandoah
Mt Sidney,VA,NULL
Steeles Tavern,VA,Bedford
Mount Crawford,VA,Orange
Spotsylvania Courthouse,VA,NULL
Edinburg,VA,Augusta
New Hope,VA,NULL
Sterling Heights,VA,Fairfax
Greenwood,VA,Mathews
Dyke,VA,NULL
Danville,VA,Louisa
Glen Allen,VA,Loudoun
Roseland,VA,Loudoun
Conicville,VA,Botetourt
Seaford,VA,NULL
Schuyler,VA,NULL
New Church,VA,NULL
Middleburg,VA,Rockingham
Falls Church,VA,Spotsylvania
Ashburn,VA,Shenandoah
Reva,VA,Augusta
Salem,VA,NULL
Wilson Springs,VA,NULL
Wolf Trap,VA,NULL
Shipman,VA,Danville
Hampden Sydney,VA,Henrico
Bristol,VA,NULL
Kiptopeke,VA,NULL
Shenandoah National Park,VA,NULL
Poquoson,VA,Nelson
Newport News,VA,Accomack
Front Royal,VA,Loudoun
Wheatlands,VA,Falls Church
Hamilton,VA,Loudoun
Sweet Briar,VA,NULL
Hardy,VA,Salem
Disputanta,VA,NULL
Purcellville,VA,Fairfax
Colonial Beach,VA,Nelson
Colonial Heights,VA,NULL
Fries,VA,Bristol
Reston,VA,NULL
Stanardsville,VA,NULL
Martinsville,VA,Poquoson
Basye,VA,Newport News
Hollins,VA,Warren
Stuart,VA,NULL
Ebony,VA,Loudoun
Keysville,VA,NULL
Evington,VA,NULL
Goodview,VA,Prince George
King George,VA,Loudoun
Indian Valley,VA,Westmoreland
Blue Grass,VA,Colonial Heights
Vernon Hill,VA,Grayson
Duffield,VA,Fairfax
Triangle,VA,Greene
Troutville,VA,Martinsville
Virginia Beach,VA,Shenandoah
Parksley,VA,Roanoke
Falmouth,VA,Patrick
Franconia,VA,Brunswick
"Herndon, Va",VA,Charlotte
Great Falls,VA,NULL
Occoquan,VA,NULL
Ashburn/Leesburg,VA,King George
Hayes,VA,NULL
Crozet,VA,NULL
Woodstock,VA,NULL
Ripplemead,VA,Scott
"Beaverdam Reservoir, Loudoun County",VA,Prince William
Powhatan,VA,Botetourt
Upperville,VA,Virginia Beach
Paris,VA,Accomack
Montpelier,VA,Stafford
Mount Jackson,VA,Fairfax
Woodlake,VA,NULL
Surry,VA,Fairfax
Morning Star,VA,Prince William
Gloucester Point,VA,NULL
Thelma,VA,NULL
Chincoteague Island,VA,Albemarle
Hampton,VA,Shenandoah
Freeman,VA,Giles
Waynesboro,VA,NULL
Leesburg,VA,Powhatan
Warsaw,VA,Fauquier
Covington,VA,Fauquier
Monterey,VA,NULL
Rustburg,VA,Shenandoah
Bassett,VA,Chesterfield
Blue Ridge,VA,Surry
Mcdowell,VA,NULL
Grottoes,VA,Gloucester
Exmore,VA,NULL
Nokesville,VA,NULL
Burke,VA,Hampton
Lancaster,VA,NULL
Shenandoah,VA,Waynesboro
Amelia Court House,VA,Loudoun
Charlottesville,VA,Richmond
White Post,VA,Covington
Moneta,VA,Highland
Newcastle,VA,Campbell
Potomac Falls,VA,Henry
Mc Gaheysville,VA,Botetourt
Christiansburg,VA,Highland
Wytheville,VA,Rockingham
Bryant,VA,Northampton
Rocky Mount,VA,Prince William
Copper Hill,VA,Fairfax
Sperryville,VA,Lancaster
Maidens,VA,Page
Altavista,VA,Amelia
Lynchburg,VA,Charlottesville
Columbia,VA,NULL
Riner,VA,Bedford
Denbigh,VA,NULL
Bedford,VA,NULL
Amherst Co.,VA,NULL
Staunton,VA,Montgomery
Broadlands,VA,Wythe
Middletown,VA,NULL
North,VA,Franklin
Rixeyville,VA,NULL
Madison,VA,Rappahannock
Mauck,VA,NULL
Grafton,VA,Campbell
Windsor,VA,Lynchburg
Boston,VA,Fluvanna
Keezletown,VA,Montgomery
Troy,VA,NULL
Northhampton County,VA,Bedford
Mclean,VA,NULL
"Manassas, Va",VA,Staunton
Alexandria,VA,Loudoun
Masons Corner,VA,Frederick
Crimora,VA,NULL
Marion,VA,NULL
Montclair,VA,Madison
Cape Charles,VA,NULL
Charles City,VA,NULL
Montross,VA,Isle of Wight
Yorktown,VA,Accomack
Doswell,VA,Rockingham
Berryville,VA,NULL
Bealeton,VA,NULL
Irvington,VA,Fairfax
Fieldale,VA,NULL
Lake Monticello,VA,Alexandria
Syria,VA,NULL
Suffolk,VA,Augusta
White Stone,VA,Smyth
Kelso,WA,Prince William
Vancouver,WA,Northampton
Benton City,WA,Charles City
Paterson,WA,Westmoreland
Othello,WA,York
Woodland,WA,NULL
Colville,WA,Clarke
Renton,WA,Fauquier
Wenatchee,WA,Lancaster
Pasco,WA,Henry
Yacolt,WA,Fluvanna
George,WA,NULL
Fall City,WA,Suffolk
Bellevue,WA,Lancaster
Washington Dc,WA,Cowlitz
Goldendale,WA,Clark
Coulee Dam,WA,Benton
Touchet,WA,NULL
Beverly,WA,Adams
Richland,WA,Cowlitz
Battle Ground,WA,Stevens
Twisp,WA,King
La Center,WA,Chelan
Walla Walla,WA,Franklin
Washougal,WA,Clark
Greenbank,WA,Grant
Vantage,WA,King
Forks,WA,King
Clarkston,WA,NULL
Auburn,WA,Klickitat
White Salmon,WA,Okanogan
Tulalip,WA,Walla Walla
Clinton,WA,Grant
Endicott,WA,Benton
Tacoma,WA,Clark
Kettle Falls,WA,Okanogan
Spokane,WA,Clark
Camas,WA,Walla Walla
Camano Island,WA,Clark
Zillah,WA,NULL
Kent,WA,Kittitas
Black Diamond,WA,Clallam
Bremerton,WA,Asotin
Bridgeport,WA,King
Lyle,WA,Klickitat
Puyallup,WA,NULL
Enumclaw,WA,Island
Bothell,WA,Whitman
Hoodsport,WA,Pierce
Entiat,WA,Stevens
Seattle,WA,Spokane
Kennewick,WA,Clark
Brewster,WA,NULL
Dayton,WA,Yakima
Mt Adams,WA,King
Ashford,WA,King
Yakima,WA,Kitsap
Kenmore,WA,Douglas
Palouse,WA,Klickitat
Burbank,WA,Pierce
Easton,MD,King
,MD,King
Indian Head,MD,Mason
Annapolis,MD,Chelan
Preston,MD,King
Taylors Landing,MD,Benton
Arnold,MD,Okanogan
West Ocean City,MD,Columbia
Lothian,MD,NULL
Woodstock,MD,Pierce
Woodsboro,MD,Yakima
Accokeek,MD,King
Rockville,MD,Whitman
Crisfield,MD,Walla Walla
Joppatowne,MD,Talbot
Potomac,MD,NULL
Prettyboy Reservoir,MD,Charles
Jarrettsville,MD,Anne Arundel
Chester,MD,Caroline
Glen Arm,MD,NULL
Hollywood,MD,Anne Arundel
Randallstown,MD,Worcester
Linganore-Bartonsville,MD,NULL
Hebron,MD,NULL
Shady Side,MD,Frederick
Swan Point,MD,Prince George's
Poolesville,MD,Montgomery
Taylors Island,MD,Somerset
Coltons Point,MD,Harford
North Potomac,MD,Montgomery
College Park,MD,NULL
Abingdon,MD,Harford
Spence,MD,Queen Anne's
Assateague Island,MD,NULL
Clarksville,MD,NULL
Friendsville,MD,Baltimore
Union Bridge,MD,NULL
Gaithersburg,MD,Wicomico
Churchton,MD,Anne Arundel
Reisterstown,MD,NULL
Sandy Spring,MD,Montgomery
Adamstown,MD,Dorchester
Hyattsville,MD,NULL
Butler,MD,Montgomery
St. Michaels,MD,Prince George's
Cecilton,MD,Harford
Ijamsville,MD,NULL
Pasadena,MD,NULL
Edgemere,MD,NULL
Ocean Pines,MD,Garrett
Waldorf,MD,Carroll
Bryans Road,MD,Montgomery
St Michaels,MD,NULL
Takoma Park,MD,Baltimore
Colora,MD,NULL
West Friendship,MD,Frederick
Sandy Point State Park,MD,Prince George's
Cumberland,MD,NULL
St. Leonard,MD,Talbot
Glenn Dale,MD,Cecil
Linthicum Heights,MD,NULL
Walkersville,MD,Anne Arundel
Damascus,MD,Baltimore
Queenstown,MD,Worcester
Lutherville,MD,Charles
"Berlin, Maryland",MD,Charles
Solomons Island,MD,NULL
Tyaskin,MD,Montgomery
Myersville,MD,NULL
Elk Neck State Park,MD,NULL
Linthicum,MD,NULL
Assateague Island National Seashore,MD,Allegany
Grasonville,MD,Calvert
Ocean City,MD,Prince George's
Dameron,MD,NULL
Smithsburg,MD,Frederick
Hughesville,MD,Montgomery
Deale,MD,Queen Anne's
Westover,MD,Baltimore
Church Creek,MD,NULL
St.  Mary'S,MD,NULL
Tracys Landing,MD,Wicomico
Cabin John,MD,Frederick
Chesapeake City,MD,NULL
Woodbine,MD,Anne Arundel
Garrison,MD,NULL
Bel Air,MD,Queen Anne's
Freeland,MD,Worcester
Stevensville,MD,NULL
Oakland,MD,Washington
"Chance, Md",MD,Charles
Fallston,MD,Anne Arundel
Elkton,MD,NULL
Utica,MD,Dorchester
Galena,MD,NULL
Assateague National Seashore,MD,NULL
Spencerville,MD,Montgomery
White Hall,MD,Cecil
Scottland,MD,NULL
Keysers Ridge,MD,Baltimore
Chesapeake Beach,MD,Harford
Riverdale,MD,NULL
Edgewood,MD,Queen Anne's
Pocomoke,MD,Garrett
Owings Mills,MD,NULL
Cambridge,MD,Harford
Monkton,MD,Cecil
Trappe,MD,NULL
Kensington,MD,Kent
Laurel,MD,NULL
Chance,MD,Montgomery
Brandywine,MD,NULL
Cromwell Valley,MD,NULL
Temple Hills,MD,NULL
Scotland,MD,Calvert
St Leonard,MD,NULL
Bowie,MD,Harford
Joppa,MD,NULL
Aberdeen,MD,Baltimore
Boyds,MD,Dorchester
Pylesville,MD,NULL
Lutherville-Timonium,MD,Talbot
Mt Airy,MD,Montgomery
Huntingtown,MD,Prince George's
Tilghman Island,MD,Somerset
Cordova,MD,Prince George's
Glen Burnie,MD,NULL
Windsor Mill,MD,Prince George's
Swanton,MD,NULL
Mchenry,MD,NULL
Davidsonville,MD,Prince George's
Gambrills,MD,NULL
Ellicott  City,MD,Harford
Thurmont,MD,NULL
Queen Anne,MD,Harford
Williamsport,MD,NULL
Hillandale,MD,NULL
Anne Arundel County,MD,Calvert
Phoenix,MD,Talbot
Westminster,MD,Talbot
Dunkirk,MD,Anne Arundel
Montgomery Village,MD,NULL
Towson,MD,Garrett
Ashton,MD,NULL
Street,MD,NULL
Finksburg,MD,Anne Arundel
Halethorpe,MD,NULL
Snow Hill,MD,Frederick
Wheaton-Glenmont,MD,Prince George's
Boonsboro,MD,Washington
Perryville,MD,Montgomery
Keymar,MD,NULL
Clear Spring,MD,NULL
Parkton,MD,Carroll
Quantico,MD,Calvert
Oxon Hill,MD,Montgomery
Elkridge,MD,Baltimore
Barnesville,MD,NULL
Hillsboro,MD,NULL
Aspen Hill,MD,NULL
Lanham,MD,NULL
North Beach,MD,Worcester
Beltsville,MD,NULL
Forest Hill,MD,Washington
Frederick,MD,Cecil
Hanover,MD,NULL
Columbia,MD,Washington
Little Orleans,MD,NULL
Piney Point,MD,Wicomico
La Plata,MD,Prince George's
Cockeysville,MD,Howard
Ellicott City,MD,Montgomery
Dickerson,MD,Caroline
Bethesda,MD,Montgomery
Federalsburg,MD,Prince George's
Monrovia,MD,Calvert
Parkville,MD,Prince George's
Bishopville,MD,NULL
Salisbury,MD,Frederick
Kent Narrows,MD,NULL
Woodcrest Shores,MD,Howard
Berlin,MD,Allegany
Middletown,MD,St. Mary's
Cobb Island,MD,Charles
Bivalve,MD,Baltimore
Burtonsville,MD,Howard
Brunswick,MD,NULL
Tuscarora,MD,Montgomery
Perry Hall,MD,Caroline
Severn,MD,Frederick
Milford Mill,MD,Baltimore
Baltimore,MD,Worcester
Wheaton,MD,Wicomico
New Carrollton,MD,Queen Anne's
Darlington,MD,NULL
Riva,MD,Worcester
Rock Hall,MD,Frederick
Perry Point,MD,Charles
Brookeville,MD,Wicomico
New Market,MD,Montgomery
Prince Frederick,MD,Frederick
Oxford,MD,NULL
Sykesville,MD,Baltimore
Conowingo,MD,Anne Arundel
Severna Park,MD,Baltimore
Owings,MD,Baltimore
Baldwin,MD,Montgomery
Newburg,MD,Prince George's
Highland,MD,Harford
Frostburg,MD,Anne Arundel
Emmitsburg,MD,Kent
Knoxville,MD,NULL
Smith Island,MD,Montgomery
Saint Michaels,MD,Frederick
Lutherville Timonium,MD,Calvert
Edgewater,MD,Talbot
Morgantown,MD,Carroll
Millersville,MD,NULL
"Washington, D.C.",MD,Anne Arundel
Port Republic,MD,Calvert
Ridgely,MD,NULL
Big Pool,MD,NULL
Silver Spring,MD,Howard
Nanjemoy,MD,Allegany
Upper Marlboro,MD,Frederick
Wash. Dc.,MD,NULL
Saint Leonard,MD,Somerset
Aberdeen Proving Ground,MD,NULL
Germantown,MD,NULL
Olney,MD,Anne Arundel
Patuxent River,MD,NULL
Grantsville,MD,NULL
Eden,MD,NULL
Havre De Grace,MD,NULL
Araby View,MD,Caroline
Jefferson,MD,Washington
Churchville,MD,Montgomery
Tall Timbers,MD,NULL
Manchester,MD,Prince George's
Crownsville,MD,NULL
Fulton,MD,NULL
Nanticoke,MD,Harford
Mt Rainier,MD,Montgomery
"Cockeysville, Md",MD,Montgomery
Mt. Airy,MD,NULL
Sparrows Point,MD,Garrett
Chevy Chase,MD,Somerset
Mechanicsville,MD,Harford
Sparks Glencoe,MD,NULL
Delmar,MD,Frederick
Earleville,MD,NULL
Marriottsville,MD,St. Mary's
Leitersburg,MD,Carroll
Hagerstown,MD,Anne Arundel
Essex,MD,Howard
Solomons,MD,Wicomico
Glenwood,MD,NULL
Middle River,MD,NULL
Crofton,MD,NULL
Pikesville,MD,NULL
Largo,MD,Montgomery
Dundalk,MD,St. Mary's
Keedysville,MD,NULL
Mount Rainier,MD,Wicomico
Brentwood,MD,NULL
Catonsville,MD,NULL
Centreville,MD,Washington
Pocomoke City,MD,Washington
Princess Anne,MD,Baltimore
Odenton,MD,Calvert
Poplar Island,MD,NULL
Chestertown,MD,Baltimore
Derwood,MD,Anne Arundel
Berwyn Heights,MD,Baltimore
Sherwood,MD,Prince George's
Nottingham,MD,Baltimore
Oldtown,MD,Washington
White Marsh,MD,Prince George's
White Plains,MD,Prince George's
Croom,MD,Baltimore
Claiborne,MD,Queen Anne's
North East,MD,Worcester
Lusby,MD,Somerset
Mount Airy,MD,Anne Arundel
Sharpsburg,MD,NULL
New Windsor,MD,Kent
Glenelg,MD,Montgomery
Dayton,MD,Prince George's
Woodlawn/Catonsville,MD,NULL
Kingsville,MD,NULL
Montgomery County,MD,Allegany
Laytonsville,MD,Baltimore
Hampstead,MD,NULL
Cape St. Claire,MD,Prince George's
Falls City,NE,NULL
Adams,NE,Cecil
Valley,NE,Calvert
Superior,NE,Carroll
Sidney,NE,Washington
Bellevue,NE,Carroll
Agate Fossil Beds,NE,NULL
Hebron,NE,NULL
Roca,NE,NULL
Lexington,NE,Baltimore
Beemer,NE,NULL
Palmyra,NE,Montgomery
Lindy,NE,Carroll
Avoca,NE,Anne Arundel
Whitman,NE,Richardson
Mc Cook,NE,Gage
Cedar Bluffs,NE,Douglas
Exeter,NE,Nuckolls
Lincoln,NE,Cheyenne
Hartington,NE,Sarpy
Lyman,NE,NULL
Leigh,NE,Thayer
Emerson,NE,Lancaster
Platte Center,NE,Dawson
Creighton,NE,Cuming
Benedict,NE,Otoe
Wellfleet,NE,Knox
Waverly,NE,Cass
Cortland,NE,NULL
Weeping Water,NE,NULL
Beatrice,NE,Saunders
Syracuse,NE,Fillmore
Waterloo,NE,Lancaster
Gretna,NE,Cedar
Bassett,NE,Scotts Bluff
York,NE,Colfax
Wyoming,NE,Dixon
Chapman,NE,Platte
Atkinson,NE,Knox
Oakland,NE,York
Gothenburg,NE,Lincoln
Valentine,NE,Lancaster
Utica,NE,Gage
